,Taxon,CBA001,ECO004_D0101_SG1_1_S0,DRL001,BRF001,TRO001,LEI010,MLP001,CMN001
67,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris|t__Rhodopseudomonas_palustris_unclassified,792845.0,0.0,516058.0,32579.0,615377.0,0.0,0.0,351611.0
68,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_chartreusis|t__Streptomyces_chartreusis_unclassified,172165.0,309629.0,0.0,0.0,0.0,0.0,0.0,52710.0
69,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_loti|t__Mesorhizobium_loti_unclassified,72462.0,0.0,0.0,0.0,0.0,0.0,0.0,911451.0
70,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis_orientalis|t__GCF_000400635,66890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_etli|t__Rhizobium_etli_unclassified,60106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Catelliglobosispora|s__Catelliglobosispora_koreensis|t__GCF_000379685,15930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,k__Eukaryota,0.0,300009.0,0.0,0.0,0.0,0.0,0.0,0.0
74,k__Archaea,0.0,104134.0,0.0,21107.0,3991034.0,0.0,0.0,0.0
75,k__Eukaryota|p__Ascomycota,0.0,300009.0,0.0,0.0,0.0,0.0,0.0,0.0
76,k__Bacteria|p__Deinococcus_Thermus,0.0,299826.0,406487.0,104676.0,0.0,0.0,0.0,0.0
77,k__Archaea|p__Thaumarchaeota,0.0,104134.0,0.0,0.0,494384.0,0.0,0.0,0.0
78,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.0,4903047.0,5141820.0,705706.0,2040870.0,3341977.0,796612.0,197958.0
79,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,0.0,300009.0,0.0,0.0,0.0,0.0,0.0,0.0
80,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,0.0,299826.0,406487.0,104676.0,0.0,0.0,0.0,0.0
81,k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname,0.0,104134.0,0.0,0.0,494384.0,0.0,0.0,0.0
82,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,0.0,4903047.0,3164628.0,0.0,0.0,0.0,0.0,0.0
83,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales,0.0,300009.0,0.0,0.0,0.0,0.0,0.0,0.0
84,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,0.0,299826.0,406487.0,104676.0,0.0,0.0,0.0,0.0
